29,42,27,2.007
91,176,108,12.042
96,196,116,22.076
97,195,121,32.11
91,188,118,42.143
114,198,118,52.178
101,201,104,62.213
97,192,116,72.247
100,176,104,82.282
101,165,113,92.319
94,179,111,102.353
93,126,99,112.387
103,157,100,122.422
110,168,102,132.457
98,207,123,142.492
107,162,133,152.527
96,171,109,162.562
101,174,110,172.597
83,180,110,182.632
109,183,101,192.666
107,195,115,202.701
81,199,113,212.735
88,193,141,222.767
93,170,98,232.802
103,190,122,242.838
104,194,117,252.872
91,186,99,262.908
89,199,108,272.942
111,184,121,282.976
80,180,131,293.011
118,171,114,303.048
91,194,103,313.082
86,205,129,323.119
96,188,122,333.152
95,188,118,343.187
108,179,127,353.224
79,208,126,363.259
94,181,108,373.294
107,189,137,383.329
103,154,114,393.364
89,170,142,403.399
96,171,133,413.437
86,191,110,423.471
103,204,112,433.507
98,191,133,443.541
99,190,113,453.577
91,206,113,463.612
137,198,127,473.647
111,207,120,483.682
105,151,106,493.717
85,191,121,503.752
106,206,139,513.786
87,218,126,523.822
101,190,114,533.857
113,185,126,543.893
97,190,108,553.927
90,194,135,563.962
91,185,103,573.996
100,185,117,584.031
100,217,140,594.067
103,198,140,604.1
94,211,114,614.135
100,188,107,624.17
101,165,108,634.204
103,182,120,644.238
88,185,118,654.272
97,189,119,664.305
92,195,116,674.339
85,190,107,684.382
99,178,116,694.418
98,190,132,704.453
89,180,127,714.487
101,158,126,724.522
95,202,119,734.559
86,195,89,744.593
89,199,124,754.627
94,216,110,764.662
89,204,121,774.696
93,154,124,784.731
107,182,126,794.766
88,186,116,804.801
105,190,122,814.837
92,174,118,824.871
92,163,115,834.906
92,187,114,844.941
105,191,123,854.979
110,206,113,865.013
97,219,129,875.048
96,194,141,885.084
100,185,122,895.118
102,194,136,905.152
84,209,118,915.187
94,180,133,925.221
102,202,128,935.257
91,212,119,945.291
105,163,141,955.326
111,202,127,965.361
127,218,142,975.397
92,188,140,985.431
90,186,133,995.466
88,216,128,1005.5
124,167,120,1015.54
79,199,140,1025.57
100,207,143,1035.61
103,202,105,1045.64
91,209,105,1055.68
116,171,109,1065.71
132,205,135,1075.75
85,193,125,1085.78
102,173,121,1095.82
97,166,114,1105.85
94,191,121,1115.89
120,189,135,1125.93
81,184,126,1135.96
99,181,121,1146
112,167,120,1156.04
103,192,129,1166.07
97,185,116,1176.11
104,188,119,1186.14
96,163,133,1196.18
106,164,138,1206.21
100,182,134,1216.25
98,205,131,1226.28
99,198,126,1236.32
113,205,131,1246.35
128,206,140,1256.39
121,186,135,1266.42
111,187,115,1276.46
107,198,130,1286.49
107,185,120,1296.53
105,188,130,1306.57
118,213,144,1316.6
94,186,117,1326.64
100,193,134,1336.67
106,199,132,1346.71
82,193,123,1356.74
79,171,113,1366.78
86,178,122,1376.81
101,196,124,1386.85
85,190,134,1396.88
97,168,128,1406.92
93,191,137,1416.95
91,206,122,1426.99
91,184,129,1437.02
92,182,127,1447.06
105,177,123,1457.09
108,203,128,1467.13
106,205,111,1477.16
91,204,129,1487.2
116,191,133,1497.24
102,201,132,1507.27
118,228,117,1517.3
100,213,134,1527.34
103,167,126,1537.38
104,194,119,1547.41
92,161,146,1557.44
107,162,114,1567.48
122,186,130,1577.51
93,179,118,1587.55
90,172,126,1597.59
99,193,136,1607.62
112,203,137,1617.66
113,226,144,1627.69
97,189,117,1637.73
91,216,120,1647.76
101,199,124,1657.8
110,191,118,1667.83
108,204,145,1677.87
109,193,136,1687.9
113,180,133,1697.94
104,215,138,1707.98
117,197,119,1718.01
100,188,123,1728.05
91,239,144,1738.09
98,177,123,1748.12
110,226,130,1758.16
91,179,125,1768.19
96,230,110,1778.23
98,197,105,1788.27
95,213,132,1798.3
111,190,127,1808.34
97,215,128,1818.37
95,212,119,1828.41
90,220,121,1838.44
97,204,130,1848.48
97,203,131,1858.51
94,181,125,1868.55
90,206,133,1878.58
128,187,122,1888.62
106,204,130,1898.65
97,202,119,1908.69
98,208,121,1918.73
107,187,126,1928.76
106,192,148,1938.8
89,211,132,1948.83
85,194,155,1958.87
103,204,145,1968.9
105,200,135,1978.94
96,200,133,1988.97
95,184,157,1999.01
91,193,129,2009.05
105,231,149,2019.08
90,191,126,2029.13
89,201,130,2039.16
115,194,135,2049.2
101,230,124,2059.23
90,224,138,2069.27
113,215,129,2079.31
113,207,126,2089.34
100,177,113,2099.37
100,198,131,2109.41
102,169,145,2119.44
112,207,153,2129.48
134,173,115,2139.51
100,212,109,2149.55
98,165,114,2159.58
94,201,109,2169.62
110,198,119,2179.66
